account,total_pnl,trade_count,avg_pnl_per_trade,pnl_std,avg_leverage,max_leverage,total_volume,buy_trades,win_trades,loss_trades,closing_trades,total_fee,buy_sell_ratio,win_rate,sharpe_proxy,risk_score,pnl_Fear,trades_Fear,lev_Fear,pnl_Neutral,trades_Neutral,lev_Neutral,pnl_Greed,trades_Greed,lev_Greed,cluster,cluster_label,pc1,pc2
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,419.1277684596647,4692.452328769463,1.0412950244484855,100.0,61697263.97,1711,1373,359,1732,7405.312304,0.4481403876375065,0.7927251732101617,0.08931955811036993,0.56875,1927735.720035,3356,1.045988360961476,0.0,0.0,0.0,-327505.900056,462.0,1.007202302938538,0,Moderate Traders,0.35907339959030393,-1.92445789225196
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,7280,6.5776539167582415,134.07347277629353,1.6582484097344519,100.0,12035487.66,3055,3223,943,4166,2729.83788853,0.41964285714285715,0.7736437830052808,0.04906006968084803,0.5703125,17098.727055,3533,2.0412049771913985,0.0,0.0,0.0,20607.446093000002,320.0,1.0550673944966755,2,Loss-Taking Learners,-1.395987001764136,0.22349006469537935
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,3809,-18.49204287687057,542.1826592941622,1.0366693636607176,100.0,33873440.42,1566,1150,457,1607,9280.98285,0.4111315305854555,0.7156191661481021,-0.034106666009835765,0.4515625,29970.928216,1136,1.093942395804863,-1.0,5.0,2.3920259619745616,1793.1602149999999,5.0,1.0000005989633352,2,Loss-Taking Learners,-1.7475380016714925,-0.1376368730285878
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,13311,9.951529904139434,113.26935264594304,1.1824149580120056,100.0,6757022.1,6699,5838,934,6772,2218.3673664509,0.5032679738562091,0.8620791494388659,0.08785721531618436,0.3796875,10435.095669,6794,1.1337576660639348,0.0,0.0,0.0,121880.386016,6472.0,1.2347614187089784,3,Consistent Winners,0.12832162437529074,0.7930350227942989
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,3239,52.0710111126891,255.82909123366827,1.2833163537155192,100.0,10166880.2,1179,1684,376,2060,3108.196722,0.36400123494905834,0.8174757281553398,0.203538271826673,0.4765625,116412.254606,2471,1.2428682347530708,0.0,0.0,0.0,52215.729448,763.0,1.4161654397075543,3,Consistent Winners,0.45753560585742786,-0.5316595159101001
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,815,-38.28662574969325,558.7787526232372,1.3363881563112938,100.0,1409902.0,182,371,199,570,147.07476338,0.2233128834355828,0.6508771929824562,-0.0685183994021842,0.690625,-59349.677108,349,1.4143715329637665,215.754798,80.0,2.2386876800033235,31429.354871,188.0,1.161540153822503,2,Loss-Taking Learners,-3.2825807599443806,-1.5536536107049628
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,3589,4.0281190682641395,730.495483644371,1.2755114850962377,100.0,17193375.42,1648,1176,591,1767,1458.65712607,0.4591808303148509,0.66553480475382,0.0055142285728698075,0.6890625,-20526.462526,3445,1.2761208507084882,0.0,0.0,0.0,34983.381862,144.0,1.2609332591642701,2,Loss-Taking Learners,-2.391359888200972,-0.2419039058612691
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,161.13327482831323,1279.8557881354639,1.6874633411936921,100.0,1143896.46,170,158,0,158,176.274175917,0.5120481927710844,1.0,0.12589955549840307,0.61953125,45883.628955,141,1.0330292777038792,0.0,0.0,0.0,7612.618288,191.0,2.170579587016015,1,High-Leverage Gamblers,0.59120160456055,0.4249481532819426
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,383,520.9023308929503,2228.336140282739,1.2917824005571887,100.0,1987527.6099999999,101,90,0,90,267.967088979,0.26370757180156656,1.0,0.23376290563902824,0.59765625,183403.024142,258,1.3957006556915978,0.0,0.0,0.0,16102.56859,125.0,1.0772951219597677,0,Moderate Traders,2.398425063814019,-3.1501479424764733
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1237,336.735547567502,1649.4975803457908,1.0112584200107415,6.3172582156238475,2966109.22,302,599,0,599,747.006931,0.24413904607922393,1.0,0.20414431132230626,0.36171875,110527.905862,671,1.0194446619029787,145563.448374,249.0,1.0007680955351956,160450.518105,131.0,1.0052522261688905,0,Moderate Traders,2.478120341217771,-2.2940954219395877
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,8519,12.130967972884141,88.29284150392282,1.1268864909999583,100.0,4408828.9,4076,3011,652,3663,1230.8465211819,0.47845991313534453,0.822003822003822,0.13739469436313437,0.32656250000000003,32683.214094,4629,1.093221466711473,0.0,0.0,0.0,69282.42904,3711.0,1.174994516017225,3,Consistent Winners,0.4527402686895623,0.5783315660092954
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,4356,155.58931373806246,855.3540027082513,1.1190771785031184,100.0,39572949.25,2115,2118,115,2233,8025.99239419,0.4855371900826446,0.948499776085983,0.18190049177934542,0.4359375,613327.827224,3806,1.1327413461246114,0.0,0.0,0.0,61076.167808,328.0,1.0259977615436149,3,Consistent Winners,1.4788297770659868,-0.028647181403727816
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,7584,40.740489150316456,656.6936282172401,1.5170807607716699,100.0,129672529.28,4172,2733,216,2949,40724.467403,0.5501054852320675,0.9267548321464903,0.06203880683434793,0.6125,223968.37089299998,3737,1.5848066521341833,-25991.506339,1309.0,1.3656157977244685,103311.026975,2433.0,1.5159704424951743,1,High-Leverage Gamblers,-0.42956954776896833,0.9612966317553734
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,12236,68.68441935403726,639.4024436908079,1.1294110947919207,100.0,420876556.36,6368,4909,573,5482,76424.64289169,0.5204315135665251,0.8954761036118205,0.10741970105333314,0.4921875,403501.648209,5777,1.20494196662719,0.0,0.0,0.0,0.0,223.0,1.0583622711894791,3,Consistent Winners,0.30880657425672375,0.43247674026735156
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,975,111.51919668923077,468.9959817825797,1.7595736001081854,100.0,728057.51,363,421,5,426,186.8360769324,0.3723076923076923,0.9882629107981221,0.23778284041019693,0.5625,6979.340871,572,2.2868980581429907,0.0,0.0,0.0,101539.274031,250.0,1.0,1,High-Leverage Gamblers,1.2599802036732297,-0.1907468651557042
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,1590,270.0349471163522,2525.2404372348287,1.1437867241887565,100.0,11474500.92,598,550,187,737,1551.43726629,0.37610062893081764,0.746268656716418,0.10693435093730877,0.7375,98269.195073,932,1.150525940116698,0.0,0.0,0.0,327545.999992,202.0,1.0726873272097093,0,Moderate Traders,-0.689662430682803,-2.073665088145495
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,1430,281.8262266846154,1591.523957653427,1.1281769498474423,100.0,3051144.33,639,438,126,564,290.01104816,0.44685314685314687,0.776595744680851,0.17707947488276915,0.6296875,341945.434741,939,1.1904675780515144,0.0,0.0,0.0,51737.579418,419.0,1.0106060782384634,0,Moderate Traders,0.3500971226837285,-1.4534465685206217
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,9893,38.3195599627009,172.52077341762578,1.1058592134760707,100.0,25729497.24,4929,8022,638,8660,2595.25914168,0.4982310724754877,0.9263279445727483,0.22211562818548053,0.290625,136208.043913,4885,1.0674421749563863,0.16271999999999998,6.0,1.0000278520499108,225368.416067,4057.0,1.1630599674372946,3,Consistent Winners,1.7750216727157526,0.7648601434990149
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,1559,9.557692781911483,72.5611952371814,1.7171101834047156,100.0,5844484.45,691,705,41,746,780.21690296,0.44323284156510584,0.9450402144772118,0.13171906486201296,0.4609375,14781.443047,1554,1.71941748767436,0.0,0.0,0.0,0.0,0.0,0.0,1,High-Leverage Gamblers,0.355445674856842,0.8575413601466371
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,4601,-36.43145507085416,1647.7789842055993,1.055174261949576,93.75613546345255,10143758.13,2262,1761,580,2341,1579.38545192,0.49163225385785697,0.7522426313541222,-0.022109430585084147,0.5890625,196303.792847,3056,1.0830683178108635,0.0,0.0,0.0,0.0,15.0,1.0,2,Loss-Taking Learners,-1.8690341618821626,0.27841440674890167
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1911,34.2823955552067,325.75560971336085,2.3305497788279825,100.0,11999173.37,1155,631,83,714,3384.88221858,0.6043956043956044,0.8837535014005602,0.10523961685685933,0.6484375,64510.169958,1802,2.2776447433002933,0.0,0.0,0.0,11.717676000000012,54.0,1.0005509957176804,1,High-Leverage Gamblers,-0.7798185976832922,1.9644957386074022
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,14998,2.928191023869849,68.6130409480178,1.0995555430655393,100.0,12304786.84,6964,3929,2630,6559,3792.54309547,0.46432857714361914,0.5990242415002287,0.0426768874169021,0.371875,46257.358187,5602,1.1704878196692325,-9125.157325,3810.0,1.0243247257833676,39978.37791,1804.0,1.1995266550388761,2,Loss-Taking Learners,-1.4885242243461527,0.11156346499242928
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,3052,41.47409637418087,220.3877348338997,1.044885616395561,100.0,10992355.74,2104,871,21,892,2821.95879926,0.6893840104849279,0.976457399103139,0.1881869533503703,0.2171875,100502.420808,2080,1.0608742229856833,0.0,0.0,0.0,8695.357326,724.0,1.0128491244173177,3,Consistent Winners,2.131382101706676,2.198394349582373
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,15605,6.81210350887536,68.2349036218229,2.049804617586783,100.0,19868207.98,9983,5396,165,5561,2287.9554331042,0.6397308554950336,0.9703290775040461,0.09983312274653397,0.4609375,40314.808014,9274,1.967768012813308,0.0,0.0,0.0,49180.714882,4211.0,2.5174152469894144,1,High-Leverage Gamblers,0.20954613488511703,2.5462010026676367
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,174.6918088057554,976.068751360001,1.0085767138189972,3.7073652990608004,861809.4,156,239,16,255,189.93800451,0.37410071942446044,0.9372549019607843,0.17897490167813418,0.35,19451.742477,95,1.0008094767059992,-14505.50575,39.0,1.0806859033840974,67900.247545,283.0,1.0012467814256965,3,Consistent Winners,1.6744749481707275,-0.8061014459001247
